premise,hypothesis,label
A man licking the face of a woman wearing glasses.,the guy licks his wife's face,1
Tour guide telling people about a house.,Tour guide showing a house.,0
Small girl in a teal dress on the arm of a chair reaching for a floor lamp.,The little girl in the teal dress is reaching for the lamp.,0
Man in hiking gear tying his shoe.,A hiker checks his gear in preparation for a long trek.,1
"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A group of players are listening to the Star Spangled Banner.,1
A snowboarder in a blue and white jacket does a hand plant with their snowboard in the air.,There is a snowboarder doing a maneuver with his board.,0
"At a long conference table in an office, various professionals consult their papers and laptops.",There are people in a building.,0
A young child chasing a bird.,A child is running to save a bird.,1
a man jumping of the wall of a large graffitied wall.,There is a person next to a graffitied wall.,0
A group of men and women gather around a conference table.,A pizza delivery guy is going to a large building.,2
A man in a city carrying luggage on a hand truck.,A man is waiting for his luggage at the airport.,2
A baby taking a bath in a tub.,A dog taking a bath in a tub.,2
A surgeon is performing a medical procedure.,The surgeon is working.,0
A man in blue jeans is jumping a bike over hills of dirt.,A man is wearing a dress,2
A bunch of people standing on a street looking at something.,The people all have their eyes closed.,2
A man carrying a bag gesticulates at the photographer while walking in front of a large advertisement.,They are in the wilderness,2
Two male band members are playing guitars in front of a microphone.,The men are singing.,1
A boy is handing an orange object to a girl.,A girl gives a boy a lime.,2
A group of children play ball in an outdoor courtyard.,A group of kids play ball in an outdoor courtyard.,0
A woman with blond-hair wearing a blue tube top is waving on the side of the street.,A woman with grey-brown hair types sentences at her computer for Stanford NLP.,2
A maze of blue and yellow walls in front of a lady,A man is in a maze.,2
"People standing on a crowded street at night, one man is using his cellphone.",People rally for a protest at night.,1
A clown with a red nose and theatrical makeup is wearing a colorful striped shirt and squirting water out of his eye.,The clown is entertaining children.,1
A girl sitting down on the ground alone in the middle of a park.,A girl sitting down on the ground alone in the middle of a dog park.,1
A teacher at the front of a small blackboard opening a book for a class of young children.,Nobody is by the blackboard.,2
A woman in a blue skirt stands as the train passes by.,the woman lets the train fly by to lift her skirt,1
Amen on a baseball field catching the ball.,A man wearing a blue coat is playing baseball with his son.,1
A brown dog is running on grass.,A white dog is laying on a beach.,2
The two girls hold hands with one another while they skate on the ice.,The two gay men hold hands with one another while they skate on the ice.,2
Man singing and playing guitar for a small audience.,Man singing in front of an audiance.,0
People sitting together while one of them is taking pictures.,A couple sits together.,1
A man sitting in a chair smoking a cigarette.,A man is smoking.,0
A climber in a red shirt is secured by a rope as he looks down a crevasse.,The rope is connected to the climber.,0
Two girls in matching pink and white dresses and two smaller boys in matching black and white shirts.,Children are swimming on a hot summer day.,2
"Two guys performing rock concert, one has short blond-hair who is singing, and the second has long blond-hair and is jamming out on his guitar.",the guys are white,1
a man wearing a yellow shirt standing in the middle of two beds that a boy is jumping on in the background,The boy is sleeping.,2
A man in a black jacket in jeans takes a photograph of a man posing on the street in a silver suit.,There are two male friends taking pictures of themselves in the street.,1
A boy wearing a white shirt and green shorts kicks a soccer ball.,a boy kicking a soccer ball,0
A teenager sorts through his mail while sitting in a messy room.,A boy is writing a letter.,2
Two men cheer in a crowd.,Two men are cheering.,0
A group of ladies walking along a sidewalk next to a blue and white wall.,a group of people walk along a sidewalk,0
Two men smile as they open a garage type door.,A couple of guys are doing something together.,0
A man playing a guitar while a couple is listening and watching another man dancing to the music.,A man is playing rock music on a guitar.,1
Man grooms a tree while a child helps him.,Man and child tend a tree.,0
A young lady is performing in some kind of martial arts.,A lady in a martial arts competition,1
Two people standing outside in front of a wooden marker.,People are holding their suitcases as they stand by the marker.,1
Man playing a violin sitting on a stage in an empty hall.,Man playing a violin sitting on a stage in an empty hall with his orchestra mates.,1
A woman with a baseball cap on riding a bike while pulling a man sitting in a cart.,The woman is riding a bike.,0
The girl in the jacket is on the cement with a sucker in her mouth and a bike to the right.,A girl is skateboarding.,2
A man in a red football uniform prepares to play.,The man in the red uniform and cleats is getting ready to play football.,1
Two children lie beneath the hoof of a bronze horse sculpture.,Kids are near a sculpture,0
Morse dressed in red and white uniform is waiting for the pitch so he can run to the next base.,A player awaits the play.,0
A billboard advertising a vacation in on a run-down street.,A picture of the moon in outer space.,2
"There are 3 people in this picture, a man who is looking through some object, another looking at something else perhaps not in the picture, and a little girl with her mouth open wide.",3 people share space together,0
"Two ladies in casual dresses are walking down a street at night, while a couple of men stand next to a row of motorbikes.",The women are passing by some bikers,1
A person stands next to the Easter Island statues.,The person is on vacation.,1
A man and woman seated at a table together.,A man talking gibberish to a baby.,2
A man in a USA shirt and jacket jumping.,A man is wearing a USA shirt,0
A woman is walking with a stroller in front of a building.,The woman is inside using the escalator.,2
Ballerina in black dress posed in an abandon building,A ballerina in a black dress poses in a building.,0
Two men sailing in a motorized raft-type boat.,There are 2 men in a truck.,2
A girl jumps in the grass.,A sedentary girl is spotted seated on the concrete.,2
"A man with a broom in hand, safety vest and hard hat on as well as a face mask.",A man who has taken many precautions to clean up some toxic chemicals,1
A soccer player in a blue uniform is about to do a corner kick at a soccer game.,a soccer player is mauled by a dog after a game,2
Four men are sitting in red chairs.,The men chose red chairs because they look romantic.,1
A group of children run a footrace in the snow.,There is no snow outside.,2
"A woman with a headband wearing a blue, yellow and red hooded jacket.",A woman is comfortingly jogging outside.,1
A water truck creates a rainbow across a street.,An ice cream truck is creating a rainbow,2
"A man and a woman being intimate, with their legs in the water.",a man and woman are getting intimate,0
There is a climber scaling a snowy mountainside.,The climber is halfway up the mountain,1
An asian child in a baseball cap crying while he is being held,A woman is climbing a tree.,2
A girl about to spike the ball in a 2 on 2 volleyball game at the 2012 olympics.,Two boys are playing baseball.,2
A small boy in a hat grabs for a wooden box.,a boy is playing chess.,2
A man is using a jackhammer to work on a sidewalk.,A construction worker is breaking up concrete.,1
"A busy city is filled with cars stuck in traffic along the road, and a lone man notices the traffic jam.",A large group of people are in vehicles.,0
Four women are posing for a picture.,There is a group of women posing for a picture.,1
A light-colored dog runs on the beach.,The dog is having fun at the beach.,1
"A man with a white hard hat with a black logo in the front of the hat holding part of a sign with numbers on it, while standing on a balcony.",A man is dressed in pink.,1
A young blond woman in a polka-dot outfit and black glasses sitting in a restaurant.,A woman is waiting for her food to arrive at the restaurant.,1
"11 cheerleaders in yellow and white on a football field, 8 of which are doing a lift.","There is a group of 11 cheerleaders in yellow and white uniforms on the field, it seems like 8 of them are doing a lift.",0
"A man holding a blue backpack, reading the paper, and a woman wearing a black coat wait for their train.",A couple is angry at each other while they wait for the train.,1
4 men and a woman in a bare room with litter strewn about.,4 men and a woman are indoors,0
A photographer capturing images of the sunset.,The sunset is red and orange.,1
Three men wearing white shirts are skateboarding on a road while a man and a woman take pictures from either side of the road.,A few professional skateboarders are skateboarding while some people take pictures.,1
A dog on a grassy hill.,It is summer.,1
"A man in jean shorts and a white shirt looks around at a market stand carrying belts, purses, and accessories.",A man browses a market,0
a person walks near a fence.,The person is standing still,2
A man with a helmet is racing a three wheeled bicycle.,a man is racing,0
A girl in a green shirt taking a careful look at an item.,There is a girl.,0
Two people taking pictures and looking at a beautiful scene by the water.,Three people fishing by the water.,2
A young boy jumping into a lake.,A young boy is swinging from a rope into a lake.,1
Two dogs race across a field on a sunny day.,Two dogs outside.,0
Triangular blue and red flags flutter in the wind.,Blue and red flags blow in the wind,0
A girl and young boy are jumping on a trampoline in a suburban yard.,The kids are jumping on a trampoline.,0
A black and brown dog carries a red toy in his mouth.,The dog is holding his toy.,0
Willie Nelson looking stage right while at the microphone.,willie is riding a donkey down the street,2
Overweight man grills a hamburger on a gas grill.,A man is grilling a hamburger.,0
A guy skateboarding.,The guy is floating in a pool,2
Stacks of orange safety cones in front of a man holding up a homeless sign.,orange cones in front of a man,0
old man carpenter painting a fence.,Huck Finn paddles down the Mighty Mississippi.,2
A woman with blond curly hair and a midriff-baring shirt walks forward while flanked by other people.,Woman has black hair,2
A pitcher wearing a red shirt and white pants is standing on the mound.,The pitcher is wearing no shirt.,2
A woman wearing a tank top is lighting a cigarette while sitting with another woman.,The woman is outside.,1
Two little girls and an adult watch bubbles float through the air in front of them.,Three people watch bubbles.,0
A man in a blue shirt is about to cross the street while a police car is driving by.,A red firetruck passes by as a man prepares to cross the road.,2
A woman holding a child in her hands.,A lady holds a child.,0
Brown and white dog trotting with brown object falling nearby.,A dog is trotting towards a falling football.,1
A group of men and women gather around a table in a restaurant.,They are outside.,2
People from the Internet are flash mobbing Cheesecake Factory.,The restaurant is closing now.,2
Two African-American men workout on a football field.,The men try out for the team.,1
"Two girls looking down at something, one is smiling.",Two girls run screaming away from a snake.,2
A group of children in a church basement play maracas and tambourines.,Some children are playing in the park.,2
Two Weimeraners in a field.,A field with two Weimeraners in it.,0
A child in a white shirt and jeans.,A child wearing new clothing.,1
Two women converse among a crowded stadium.,Two women are cooking in the kitchen.,2
A tattooed man in black playing a white guitar and singing.,The man is playing for money.,1
"Three young, male members of a band, one of whose face is not shown, one who is playing a bass guitar, and one who is smiling.",Three men are playing in a rock band.,1
Two people cross a bridge over a river in a forest.,Two people cross a bridge over a river.,0
A man wearing glasses looking at a round mirrored object hanging from above.,A man eating lunch on a park bench,2
A black and a tan dog.,A pure white dog.,2
"Two professional soccer players attempt to reach the ball first, with the fans in the stands looking on from the background.",The fans are watching a professional soccer game.,0
A boy scout demonstrating the proper way of handling jar filled with liquid.,A boy demonstrating for a crowd.,1
A woman is holding the cheeks of a man on the beach.,A couple is laying on a towel on the beach.,1
An older brown-haired woman is holding a young blond girl in pink pajamas as another brunette woman in a green shirt looks on.,A woman holds a young girl.,0
A man in a white t-shirt does a trick with a bronze colored yo-yo.,one man is showing his gutts,1
"A young woman in a tank top, shorts, and sunglasses is playing a guitar will seated on the ground.",The woman is playing guitar and singing a song.,1
Several people walking along a curved walkway inside of a building with various advertisements.,People have come to an indoor sporting event where many sponsors have put up ads.,1
People are watching a street performer doing tricks with fire.,People are watching a street performer doing dangerous tricks with fire.,1
A multi generation family having a meal at a restaurant.,A family is eating,0
A man with a blue shirt and gray apron cuts fish at an outdoor market.,The man is watching exhibition.,2
A brown dog in an orange collar shaking off water.,An animal shaking.,0
Footprints and other tracks mar the sandy dunes while two boys dressed in blue and yellow disappear over the crest of one of the dunes.,The boys are in the pool.,2
Two young women examine the wares at a well-stocked outdoor bakery booth under a yellow umbrella.,The women are shopping for groceries.,2
A black dog jumps off a pier into a lake.,A black dog jumps off the edge into the lake.,1
A brindle pitbull holds a dirt bike tire in its mouth.,A dog steals a tire.,1
"A man in an orange hard hat and orange protective clothing is suspended from a building, cleaning a part of the building.",A human cleaning,0
A young boy shoots a basketball into a hoop.,The young boy dunked the basketball,1
Two adult couples are placing their bets on a casino table.,two adult couples place bets in a casino during a card game,1
A man shooting a bow and arrow at a target.,The man is swimming in a pool.,2
A black dog is running through the snow.,The cat is riding a go kart.,2
"Guy in a white clothing, running down a busy street and carrying a gold torch.",Wombats play croquet.,2
"An architect hammers a nail; his hard hat reads ""emergency architects.""",A man hammers a nail.,0
One man in a white robe with a microphone is reading off a sheet of paper to a crowd of people.,A man wearing a robe is reading to a crowd.,0
Several African women sit in front of a hut.,A group of uptight women are gathered around a table discussing their marketing schemes.,2
A man rides a bucking horse at a rodeo while the crowd snaps some photos.,The crowd takes pictures as the man falls off the bucking horse.,1
The weather looks clear.,The weather is clear.,0
A young Caucasian girl in a blue Toronto maple leafs jersey holding a hockey stick and hockey puck is on the ground.,She is in a red jersey,2
"Two skis hike uphill, through a barren, snowy landscape.",Tow skies outside.,1
Two street musicians play guitars in Asia.,Two street musicians in Vietnam beg for money.,1
He is waiting for people to come forward to do the on the spot painting.,A man is waiting,0
A man is break-dancing for an audience on the street.,A man is performing.,0
A man with a white shirt and a woman with a white shirt are talking on their phones.,The man and woman are wearing the same color shirt.,0
A performer putting on an act in front of a large crowd of people.,A performer pratices an act in her private space.,2
A child is laying on the ground next to a stroller.,The child is out of his stroller.,0
An underwater closeup of a young girl with pink goggles exhaling through her nose.,She is underwater.,0
The girls wearing a nice dress,A girl is dressed nicely.,0
A snowboarder wearing a red jacket is going down a mountain.,A snowboarder wearing an orange jacket rides a ski lift.,2
"A choir in festive red stand facing the congregation of a church with a high, cavernous, arching ceiling.",A choir faces a congregation in a church.,0
A toddler grasping the handle of a tool to stir food in a bowl along with another person whose arms are seen holding the bowl and tool.,A mother holds the bowl as she teaches her child how to stir.,1
A young boy looking at very large pumpkins in a pumpkin patch.,There is a young boy looking at pumpkins for Halloween.,1
A man is standing in the street next to a doorway while he holds his hands behind his back.,man stands on street,0
The man is playing a stringed instrument on the ground.,A man over six feet tall,1
A young boy in an apron watching a man in an apron work with a mixer as a very young boy watches also.,Two boys watch a man work a mixer.,0
People respond to unseen excitement at an outdoor gathering.,A group watches a movie inside.,2
People are looking at pieces on display at a museum.,People are outside watching a sport.,2
A bicyclist in a helmet and a man in a business suit both talk on cellphones near a fountain.,There are men speaking into corded handset telephones.,2
A white and brown dog is running over orange leaves.,The leaves all dropped from the same tree.,1
A costumed woman plays an instrument on a bench.,The person is a man.,2
A brown-haired person in a tan coat and hat kneels down in the dirt to photograph graffiti written on a blue door.,A painter painting a blue door.,2
The little girl is opening her big present.,The little girl is opening a present.,0
A boy standing on a roof performing construction.,A young man works.,0
Young Blond boy on swing set in park,The day is beautiful.,1
Two boys make silly poses next to a sign.,Two boys playing around and being silly.,0
A family of two woman and a young child sits on the grass in a park in front of three young girls.,Three young girls in front of a family of two women and a child,0
A man demonstrates how to ride a bicycle with only the back wheel on the ground.,A man is doing a wheelie on a red bike.,1
A woman in black holds her mouth walking down the street with a young boy.,A woman walks down the street with her son.,1
A boy does a toe touch in front of a tree.,A boy jumps up and down in front of a tree.,2
"A slender man, shirtless with tattoos, carries his skateboard while making a displeased face.",A tattooed man is holding a skateboard.,0
A group of motorcycle riders gather on a street.,Some people are gathered outside.,0
The windows of the building are barred.,The windows of the jail are barred.,1
A man in a white cowboy hat and a red shirt is singing and playing the guitar.,A poodle chokes on a hotdog he attempted to eat much too fast.,2
A young woman speaks into a microphone while two men watch and listen to her.,A young woman is talking to two men about babies.,1
Some men are walking along railroad tracks on snow-dusted ground.,Men walking together,0
"A man at a table eating, holding up a lone potato chip and looking at it.",A person having a meal in a restuarant.,1
Brown-haired women presents birthday cake to blond-haired boy in front of crowd.,A young man's mom surprises him with a birthday party and cake with all his friends and family present.,1
A fisherman with a cast net fishes from a canoe.,The man is writing in a journal.,2
A man in a black shirt looks on with a grin while standing in front of two trays holding glasses with a yellow liquid.,A man smiles as he looks at drinks.,0
In this photo there is a man in a white shirt dark blue pants standing on a small boat in what looks like a lake of some sort he has a net in one hand and a line of some type of string in the other the line is in the water the man also has a teal colored bag on his boat so he might be catching fish.,The man is fishing.,1
"A young child enjoys playing in a car that features the cartoon character ""Barney.""",The child is crying inside of a car.,2
A lady sitting down and someone with black shorts and shoes,A lady is standing up.,2
Two men from opposing teams jump and reach high in the air in an attempt to grab a Frisbee.,Two men try to grab a frisbee in a competition.,1
The small brown dog is running through the grass with a yellow ball in its mouth.,The small dog climbs a tall tree.,2
A woman sits on a bench staring at the amazing mountainous scenery.,The woman is sitting.,0
A bald man in a black jacket and black pants holding a microphone singing with a man in a black shirt and jeans playing an electric guitar on stage.,A zebra looks for food.,2
A man wearing a yellow shirt and black apron is standing in front of an information booth with some newspapers.,a woman in a yellow shirt and white apron stands behind a booth with newspapers,2
a couple walking along on a sidewalk,The couple are working out at the gym.,2
A woman with brown hair wearing white gloves.,The woman with the golves has brown hair.,0
A golfer is teeing off the green.,Someone is having a rather bad day on the green,1
The boys are playing soccer.,People are playing soccer.,0
Several people sitting outside around a Dalmatian balloon.,There is a balloon outside.,0
a brown dog running down a paved pathway,A brown dog is running down the pathway with another dog.,1
The performers are putting on white headbands for their performance.,The performers need the white headbands to perform better.,1
"A man in a blue hat and green coat is holding a sign that says slow, with RVs parked in back of him.",The sign has an elegant border.,1
Two dogs are wrestling in the park.,the dogs are sitting nicely,2
A surfer with a large white surfboard and tether line is standing on the beach on an overcast day.,There is a white surfboard on the beach.,0
Two dogs running in the dirt.,The two dogs are outdoors.,0
The children are eagerly waiting for their balloons on a party.,lion chases fish,2
A child is laying on the ground next to a stroller.,The child fell out of his stroller.,1
A boy in a black cap breakdancing,The boy is sleeping,2
A man reads will sitting outside.,The man is watching a movie.,2
A crowd sits along side a building as a man talks to them and another group of men hang out nearby on a sidewalk.,Crowd sitting around building side,1
A lady looking at stuff while kids play games.,The kids are asleep.,2
"A young boy dressed in green running along a smooth, stone wall near a wooded area.",The person running is a girl,2
A pier and the people on it are silhouetted by a sunset.,A chair is destroyed at a garbage dump,2
Four shirtless men hike up a canyon.,Four men are exploring the outdoors.,0
A few people shopping in a market.,People are shopping.,0
A man and a cow re shown in the foreground while a long train is in the back.,A man standing with a cow.,0
Players from a girl's volleyball team are huddling on the volleyball court.,The girls are sleeping.,2
Man in a rice field wearing shorts.,A man is in a crop field.,0
A boy and girl make sand sculptures at the beach.,Two children are playing on the beach,1
Woman by green bananas at an open air market,a women is outside,0
Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps.,The two jugglers performing are part of a circus.,1
A woman in shorts and a blue sleeveless shirt leans over a golf club.,A woman is around some golf equipment.,1
the young children are petting a piglet,The kids are petting a pig.,0
"A classroom in India, with many decorations hanging from the ceilings, and a white circle on the floor.",A classroom in India is decorated.,0
A man in an orange vest and yellow hard hat looks on as a yellow vehicle lays track.,people replace old track,1
A man stands with what appears to be a table of handbags in front of a deli in a city.,A man stand with what appears to be a table of handbags and is selling them infront of a deli in a city.,1
"Three dogs, one holding a red Frisbee, standing in snow.",There are three dogs outside.,0
The motorcycle is a Honda.,The motorcycle is a Ford.,2
A group of people seated at a picnic table under a tent space decorated with flags and stars.,A group of people celebrate the Fourth of July under a tent.,1
Two young girls are building wooden toys at a table.,Two girls are working with wood.,0
"Two guys looking at the screen of a tv while one sings,(presumably) and the other plays a set of big wooden drums.",There are two men making music together.,0
A happy child is getting a helping hand out of the box of nerf balls.,A happy kid is getting help through his friend.,1
Teenagers are looking out the window of a bus.,Teenagers are at a field.,2
A professional baseball game that includes The Los Angeles Angels of Anaheim.,The Angels are playing hockey.,2
A couple talk at a table outside Au Grain de Folie.,The couple are swimming at the beach.,2
Group of people dance with smiles at their faces.,Some men are happy at a concert.,1
Several women are performing ballet on stage with colorful leotards and tutus.,Group of ballet dancers performing in costume.,0
A motorcycle rider in a white helmet leans into a curve on a rural road.,The airplane is ready for takeoff.,2
Three women in religious garb talk on steps.,Three nuns are standing on the steps.,1
A horse is in midair in a corral.,the horse is white,1
Two elderly women examine a cake on a table.,The women are talking.,1
Children climb a jungle gym.,Some funny humans climb.,1
A black dog with a white spot on it's neck holding a frisbee looking away from the camera.,There is an animal with a toy.,0
A man in a red and black biking outfit rides his bike on a bridge over a body of water.,The bike is almost out of gas.,1
A little boy is smiling as he splashes in some water and sits inside a couple of red and blue floating devices.,A boy is playing with water.,0
"An adventurous skier skillfully moved down the steep, snowy slope at a high rate of speed.",A skier is racing down the snowy slope.,0
Man using a loom to make something.,The man is making a dress using the loom.,1
Large black and white dog jumping hurdle,the dog is part of a dog show.,1
Two dogs in the water.,Two dogs are outside.,1
"A woman stands in front of a fence and next to a bucket, chewing her nails.",The woman chewing her nails is in front of the fence and next to a bucket.,0
A black dog is in a dog race.,A dog is racing in a tournament.,0
A man in an orange vest is standing next to a yellow canoe.,There is a man outside in this picture.,0
A man approaches a woman in bridal gown who is standing in the street with 7 other girls.,A group of people are eating dinner at a steakhouse.,2
A woman wearing a red and white basketball uniform and number 15 prepares to shoot a free throw.,The woman is playing volleyball.,2
Two women jogging down a sidewalk in front of a person leaning on a bench in front of a lake. with another person,Two females jog on a sidewalk.,0
A toddler in blue clothes is balancing on a rock.,A toddler balances on a rock.,0
Two girls at an overlook in a wooded area looking towards a mountain in the distance.,Picasso painted barns.,2
A four piece band playing on stage before some people.,A band is performing for a small crowd.,1
A man in a shiny yellow shirt and another man in a shiny orange shirt watch a wooden log get hoisted up.,The two men in the shiny shirts watched logs get lifted.,0
a young boy wearing an orange helmet riding a scooter,The boy is riding his scooter on the sidewalk,1
A woman in white and a baby girl are sitting in a lawn chair.,cow jumps,2
A little girl in a pink hat holds a camera to her face.,The girl is looking through binoculars.,2
Young woman in pink does skateboarding figure.,A woman is in a skating competition.,1
A young boy in blue shorts is climbing rocks along the hotel resort beach shore.,The young boy is staying in the hotel.,1
Gentleman sweeping stone steps.,The man keeps his property very clean.,1
A man is speaking into a microphone at a podium.,A woman is speaking into a microphone at a podium.,2
A skateboarder jumps another skateboard.,A person is ice-skating.,2
A man in a wild red outfit talking on a cellphone.,The man is inside.,1
A man cutting a piece of cake at an office party.,A man is cutting a piece of wood in a forest.,2
Two girls are swimming towards sand.,girls swimming,0
man in hat sitting in front of artwork.,A man wears a hat near some art.,0
"Two cowboys, one wearing blue and the other wearing red, are riding horses and are about to catch a cow.",Two cowboys were sitting in the bleachers.,2
Two young children playing soccer.,Two kids run around with a soccer ball.,1
A man with a beard in a Dr. Pepper t-shirt is laying on a blue blanket with a baby.,A man is spending time with his newborn.,1
A man in a fluorescent construction vest is showing off a model of a building at a meeting.,a man in a flourescent vest is showing off the model of a building,0
A boy dressed in red clothing pulling a mop across the floor.,A boy in a red shirt is doing chores for his allowance.,1
Sled dogs pull a sled through a snowy forest.,Dogs are out in the snow.,0
Am motor cross rider in a green suit is riding his bike on a dirt road.,The elephants play,2
A tent rests on the shore and a man and canoe are in the background.,A man and his canoe are out on the shore.,0
A boy chasing a baseball.,The boy is wearing a baseball cap.,1
A man in a suit is talking in front of a camera.,A man is reading the news headlines.,1
A man attempts to start a flying model of a bi-plane with British air force rondel markings.,A man is working on his model plane trying to get it airborne.,0
"A cheerleader wearing red, white and blue is standing with white towels in her hand.",The girl is trying to energize the crowd at a game.,1
A boy holding a stick jumping Ont he street.,The boy is playing right outside his house.,1
"A ballerina dressed in yellow is dancing, on a stage.",A person dances on stage.,0
A band performs on stage with guitarists and the vocalist visible.,Band performing,0
Two skateboarders hanging out under a statue of a soldier on a horse.,There are people at home.,2
A dog running down a ramp during a dog show.,There are Animals sitting,2
Three people walk down the street with a camera in hand.,Three people are swimming at the public pool.,2
A youth wearing a blue and red jersey and yellow helmet is crouching in a football position,A young person is wearing blue and red clothing.,0
man waving his hands in the middle of a street.,The man has hands.,0
A man on a busy city street is eating something.,A man grabbed a hot dog on the streets of New York.,1
a man in an orange shirt with an orange ladder next to a brick wall.,A man is by the brick wall.,0
A man working on a building three stories up.,A man wearing a hat is working on a building three stories up.,1
"Two men in suits, one carrying a briefcase, and a besuited woman with a red purse walk down a city street.",Two men and a woman are walking to a business meeting.,1
A surfer riding a wave sideways and looking really happy while doing it.,A surfer on the beach with a broken board.,2
Two kids play outside on a cobblestone street near some Porta Potties.,Two kids are playing video games.,2
two gay guys having fun with a weiner,Two ladies walk down the street together.,2
A camera women filming an entertainment event.,a woman is filming,0
A basketball player has just made a shot and is falling over.,A basketball player plays with his little sister.,2
An old man sleeps on the grass at the foot of a large tree.,The man is sleeping outside because he is drunk.,1
A little boy jumps high off his bed.,boy jumps from bed,0
A woman with blond-hair and black pants is practicing her karate moves in a scenic park.,The woman is very attractive.,1
Three young boys pay attention to something.,Three teenagers watch the football game on tv.,1
Two dogs playing near the woods.,Two dogs chasing after a squirrel outdoors.,1
A man in a plaid shirt is embracing his girlfriend.,A man is with his girlfriend.,0
"Two men in baseball uniforms are playing baseball, one is on the ground with a helmet, and the other is crouching.",Two men are playing baseball.,0
Two brown dogs play on the sand by the water.,two dogs play by a body of water.,0
A little boy is sitting on a swing.,A boy is at a playground.,1
Two men in red shirts are standing with a man in a black shirt.,Three men stand together.,0
Three people in a race running outside in the sunshine with participant numbers on their belly's.,Three people in a race joyously running outside,1
A girl is drinking from a drinking fountain.,A girl is drinking a soda.,2
A very weak looking woman is holding a pot and some branches above her head.,A woman has her arms above her head.,0
A little boy is in a tire,There is a little boy in a tire.,0
A young boy and a toddler play in a fountain in front of a building.,the two kids are outside playing in a fountain,1
"Two blond females, one in a red striped tank top, the second in a blue tank top, sitting at a table, talking.",There are two women,0
Two children in a meadow standing on a little rock bridge over a creek.,The children are outside.,0
"A person with shopping bags crosses the street behind a bus, while two others stand next to the curb.",Someone crosses a street while other people stand and a bus is nearby.,0
A toddler shovels a snowy driveway with a bright orange shovel.,A young child is playing with toys.,2
One person is showing her condolence of the one died.,A woman in black pays respects to someone at their funeral.,1
A young boy and a young girl in bathing suits.,a boy and girl in bathing suits,0
"Three people, two males and a female, are sitting in front of a tall tree on the ground during a rest from a hike.",One of the hikers was tired so they took a rest.,1
A man in a yellow shirt and a man in an orange shirt jump in the air.,Two men jump.,0
Three school boys posing under a blue umbrella.,Three little boys are caught in a storm.,1
The woman in the purple shirt and gray pants is taking the black dog and a child with an orange shirt and a girl with a gray shirt out for a walk.,"A woman is walking with a child, girl and a dog",0
Four girls are jumping up and down on the sand near the ocean.,Some girls just got some exciting news about the next day's plans.,1
A boy in a green shirt is riding his skateboard in a park while three boys watch.,People are outdoors.,0
A woman sitting on a bench next to someone wearing a hat and sitting in a wheelchair.,The woman is taking her mother who is handicapped out to enjoy the air.,1
A dog is playing in water.,The dog is playing in a lake.,1
Two little boys sit on the steps eating a snack.,Two boys are sitting on the steps eating a snack.,0
a man in black walking past a red and yellow signpost whilst eating.,A man eats while walking past a sign.,0
A man in a suit rides a brown horse.,The guy is late to a meeting.,1
A child jumps off a high diving board into the pool.,The child jumps into the lake.,2
A woman at a fish market is looking at the fish that are frozen.,The woman is a professional chef.,1
Several small children are playing basketball.,A man is crushed by a red vehicle.,2
One young man flying on his skateboard above a flight of stone stairs while another young man videotapes him.,A man videotapes another man skateboarding.,0
People are gathered outside a building and yelling,People are quietly relaxing at the park.,2
A woman in blue wearing flip-flops touches a passing car while walking beside a young man in a green striped shirt.,A woman waves her fingers through the air as she walks with her friend.,2
"a dog jumps over a fence, while two other dogs watch.",The dogs are playing in the park.,2
Synchronized Swimmers with blue bathing suits.,Swimmers wearing blue bathing suits.,0
A group of cheerleaders working and planning some of their routines.,The girls are swimming in the ocean.,2
Two old men talk with each other in a rugged urban area.,People are sitting in rugged urban area.,2
"There is a bride and groom with two children, a woman and a man carrying a flag, standing on a stony place.",A camera man is trying to get a perfect wedding picture.,1
Construction workers are laying down pavement to repair a road.,The construction workers are on a dirt road in the middle of a forest,2
A man is throwing a girl into the air.,A father is throwing his son in the air.,2
"A young black man sits in a unfinished brick and mortar building, the large window to his left has no glass, it is daytime and the sun drenches the room, he sits at simple bench and desk holding two blue pens and reading from one of the two note books that lay on the desk, he wears a yellow polo and lights blue shorts.",A constructiong work is studying his notes.,1
A bird flying over some sand.,A monkey flying over some sand.,2
Children are playing in an outdoor splash park.,Children are playing in a splash park.,0
Two black dogs are facing each other showing their teeth.,two dogs are ready to kill each other,1
The youngster enjoys playing in the sand.,The youngster is afraid of the sand.,2
"A girl poses with the Disney character Stitch, who is wearing a flower lei.",A boy is playing in the mud.,2
Two girls are sitting on the floor in a hallway while on their laptops.,The girls are sitting in chairs.,2
A man in a sleeveless brown shirt and khaki shorts sews on a piece of cloth covering a ramshackle shade structure.,A man sewing.,0
kids are riding a swinging carnival ride,Children are on an amusement ride.,0
A group of people sit watching an event behind a Tim hortons sign.,There is a group of people standing outdoors,2
A man holds a baby in a house while a blond child looks at the camera.,A woman is holding a bunny rabbit.,2
A young man is on his laptop in an office setting.,A man is on his laptop,0
"There are several young men kicking a ball around, with a pavilion behind them with people standing under them.", There are several young men kicking a ball around.,0
Three children and trying to open a gift.,The gift is not for them.,1
A little boy in a red sweater is climbing a tree.,the boy rode his bike,2
Several women dressed in gypsy-like clothing dance about in a forest.,The women are in the forest.,0
